No.,Station Name
1,BANSPANI
2,JAROLI
3,JAROLI A/C
4,NAYAGHARH
5,PROJANPUR
6,GOALDIH
7,KENDUJHAR GARH
8,NARANPUR
9,BASANTPUR
10,SITABINJI
11,NILAKANTESWAR
12,HARICHANDANPUR
13,CHILLIKIDARA
14,SAGADAPETA
15,TANGIRIAPAL
16,TOMKA
17,TOMKA 'B'
18,BAGHUAPAL
19,SUKINDA
20,DAITARI
21,DUBURI
22,TOMKA 'A'
23,DHANMANDAL
24,CHARBATIA
25,SALAGOAN
26,BHADRAK
27,RANDIA BAUDPUR
28,KENDUAPADA
29,MANJURI RD
30,BAITARANI RD
31,KORAI
32,JAJPUR KEONJHAR RD
33,JAKHAPURA
34,JENAPUR
35,NEW GARHMADHUPUR
36,HARIDASPUR
37,BYREE
38,KAPILAS RD
39,NERGUNDI
40,JUNCTION BLOCK CABIN
41,TALCHER
42,TALCHER TERMAL
43,KAMALANGA
44,PORJANG
45,MUKTAPOSI
46,KAMAKHYA
47,NAGAR
48,DHENKANAL
49,JORANDA
50,RAJATGARH
51,MACHAPUR
52,GURUDIJHATIA
53,CHADIKHOL RD
54,UDAYAGIRI RATNAGIRI
55,LALITGIRI
56,BAJIPARA
57,KENDRAPARA
58,MARSAGHAI RD
